Infinite-ISP Performance & Accuracy Analysis Report
====================================================

Dataset: Mediatek RAW -> Fujifilm Ground Truth
Number of images: 2417
Total Processing Time: 1104.0592 seconds
Average Time Per Image: 0.4568 seconds
Overall FPS: 2.19 Frames/Second
Average PSNR: 20.8483 dB
Average SSIM: 0.765946

Individual Results:
Filename             | Time(s) | FPS | PSNR(dB) | SSIM
12494.png            | 0.4205 | 2.38 | 22.83 | 0.8818
12504.png            | 0.4272 | 2.34 | 23.90 | 0.7995
12506.png            | 0.4265 | 2.34 | 15.16 | 0.5781
12516.png            | 0.4242 | 2.36 | 17.05 | 0.7984
12521.png            | 0.4199 | 2.38 | 18.30 | 0.8694
12523.png            | 0.4229 | 2.36 | 20.04 | 0.9340
12536.png            | 0.4237 | 2.36 | 21.99 | 0.9055
12537.png            | 0.4226 | 2.37 | 22.60 | 0.9011
12547.png            | 0.4201 | 2.38 | 22.86 | 0.9170
12571.png            | 0.4242 | 2.36 | 28.44 | 0.9332
12574.png            | 0.4261 | 2.35 | 18.09 | 0.5064
12590.png            | 0.4282 | 2.34 | 15.73 | 0.7262
12594.png            | 0.4226 | 2.37 | 24.01 | 0.9136
12627.png            | 0.4239 | 2.36 | 22.07 | 0.6189
12635.png            | 0.4234 | 2.36 | 23.37 | 0.9061
12651.png            | 0.4225 | 2.37 | 22.39 | 0.8315
12666.png            | 0.4210 | 2.38 | 20.22 | 0.8164
12679.png            | 0.4263 | 2.35 | 18.57 | 0.7483
12687.png            | 0.4239 | 2.36 | 14.00 | 0.7894
12689.png            | 0.4252 | 2.35 | 15.02 | 0.9129
12691.png            | 0.4252 | 2.35 | 21.58 | 0.8863
12719.png            | 0.4265 | 2.34 | 22.59 | 0.6525
12720.png            | 0.4240 | 2.36 | 23.13 | 0.6512
12724.png            | 0.4235 | 2.36 | 14.48 | 0.7988
12735.png            | 0.4308 | 2.32 | 19.31 | 0.7467
12741.png            | 0.4233 | 2.36 | 17.54 | 0.5550
12748.png            | 0.4297 | 2.33 | 23.48 | 0.6516
12762.png            | 0.4499 | 2.22 | 21.37 | 0.9641
12770.png            | 0.5027 | 1.99 | 18.20 | 0.9578
12780.png            | 0.4445 | 2.25 | 23.39 | 0.7981
12784.png            | 0.4516 | 2.21 | 15.36 | 0.7286
12788.png            | 0.4448 | 2.25 | 19.09 | 0.6798
12789.png            | 0.4546 | 2.20 | 23.81 | 0.7357
12815.png            | 0.4514 | 2.22 | 25.26 | 0.9288
